X;Y
545;1.8130245550418422E-6
546;1.1092013878499785E-6
547;1.7785772854495008E-13
548;4.710565271182077E-12
549;5.20027321204708E-9
550;0.0
551;0.0
552;5.101777889038317E-10
553;3.622725822660655E-7
554;3.0332084621775834E-9
555;7.771561172376096E-16
556;0.0
557;0.0
558;0.0
559;3.968790851516246E-10
560;4.933215115299205E-7
561;5.961636018181338E-8
562;3.120537294121206E-7
563;1.8471687537324755E-6
564;0.0
565;0.0
566;1.0361818181259252E-8
567;6.000792823868117E-6
568;4.677755960358354E-10
569;6.069120996765598E-6
570;1.1102230246251565E-16
571;0.0
572;1.2815304373248182E-12
573;0.0
574;1.899050128262303E-8
575;1.2123014814235944E-9
576;0.0
577;2.7071849086901523E-6
578;1.5473942127641749E-9
579;1.0483921124571083E-6
580;0.0
581;4.520162022458862E-12
582;4.844845087337291E-7
583;0.0
584;0.0
585;0.0
586;1.2789769243681803E-13
587;8.190548239639384E-11
588;9.727774141765622E-13
589;0.0
590;1.716977611088133E-6
591;9.564793401750649E-11
592;0.0
593;0.0
594;2.220446049250313E-16
595;6.880687398957974E-6
596;1.40982243357346E-6
597;0.0
598;2.1278625306209165E-7
599;0.0
600;0.0
601;2.2751327999337434E-7
602;0.0
603;2.0539125955565396E-14
604;5.474175799435876E-6
605;3.510554811847477E-6
606;4.503261977317763E-6
607;0.0
608;1.3657824793344986E-7
609;1.7763568394002505E-15
610;0.0
611;0.0
612;9.239382584569356E-7
613;3.847385019795091E-6
614;2.5213026777493042E-8
615;0.0
616;1.1917356880219998E-6
617;1.0034612907272589E-7
618;0.0
619;7.689835729851602E-6
620;6.516019152025265E-7
621;4.348615972427083E-6
622;6.631516491495404E-7
623;0.0
624;1.4713558216250533E-7
625;1.1102230246251565E-15
626;2.1438406605511773E-13
627;9.027223413227148E-13
